impr,lang,query,blog,blog_pos,tour,tour_pos
194,ru,грузия черное море,/blog/chernoe-more-gruzii/,6.4,/ekskursiya/tur-batumi-iz-tbilisi/,100
188,en,narikala tbilisi,/en/blog/narikala-fortress-tbilisi/,10.1,/en/ekskursiya/ekskursiya-narikala/,51.1
186,en,tbilisi brutalist architecture,/en/blog/soviet-tbilisi-tour/,8.6,/en/ekskursiya/sovetskiy-tur-tbilisi/,10
174,ru,грузия черные пески,/blog/ureki-plyazh/,6.2,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,23
168,en,каньон мартвили,/en/blog/martvili-canyon/,7.5,/en/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,16
166,ru,дегустация вина тбилиси,/blog/degustatsiya-vina-gruziya/,15.3,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,51.4
165,ru,экскурсия в кахетию из тбилиси,/blog/kakheti-za-1-den/,22.0,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,36.7
158,en,ურეკის მაგნიტური ქვიშა,/en/blog/ureki-beach/,1,/ge/ekskursiya/ekskursiya-ureki-iz-tbilisi/,9.8
155,en,магнитные пески грузия,/en/blog/ureki-beach/,1,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,40
155,en,cable car to narikala fortress,/en/blog/narikala-fortress-tbilisi/,6.2,/en/ekskursiya/ekskursiya-narikala/,70
149,ru,тур по грузии 7 дней,/blog/gruziya-7-dney/,8.8,/ekskursiya/tur-gruziya-7-dney/,39.1
138,en,how to travel from tbilisi to batumi,/en/blog/batumi-from-tbilisi/#how-to-get,10.4,/en/ekskursiya/tur-batumi-iz-tbilisi/,94.5
137,en,ureki beach georgia,/en/blog/ureki-beach/,6.2,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,39
137,en,davit gareja,/en/blog/david-gareja-monastery/#how-to-get,8.2,/en/ekskursiya/ekskursiya-david-gareji/,36.4
136,en,dashbashi canyon,/en/blog/tbilisi-3-day-itinerary/,5,/en/ekskursiya/ekskursiya-dashbashi-iz-tbilisi/,5.8
130,ru,магнитные пески уреки польза,/blog/ureki-plyazh/#deti,8.7,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,10.9
130,en,نعم,/en/blog/tbilisi-with-kids-guide/,1,/en/ekskursiya/shopping-tur-tbilisi/,3
124,en,батуми,/en/blog/apartment-rental-tbilisi/,1,/ekskursiya/tur-batumi-iz-tbilisi/,12.8
124,en,all tbilisi tours & excursions in 2026,/en/blog/tbilisi-tours-guide/,19.1,/en/tours-in-georgia/,24.1
121,en,магнитные пески уреки,/en/blog/ureki-beach/,5,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,11.7
