Campaign,Campaign type,Campaign daily budget,Bid strategy type,Bid strategy max CPC,Networks,Campaign status,Location,Language,Ad schedule,Ad group,Ad group type,Default max. CPC,Keyword,Criterion Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Ad type
Sakhva_ROI_3,Search,15,Maximize clicks,0.70,Google search,Paused,Georgia,Russian,"Monday 08:00-23:00; Tuesday 08:00-23:00; Wednesday 08:00-23:00; Thursday 08:00-23:00; Friday 08:00-23:00; Saturday 08:00-23:00; Sunday 08:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,Standard,0.50,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,винный тур кахетия,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,винный тур кахетия из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,экскурсия в кахетию,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,экскурсия в кахетию из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,дегустация вина кахетия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,кахетия с гидом из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,винная экскурсия грузия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Винный тур Кахетия $74,Кахетия из Тбилиси,Дегустация вин с гидом,Кахетия тур от $74,3 винодельни за 1 день,Группа до 6 человек,Бесплатная отмена 24ч,Ответ Тимура за 15 мин,Рейтинг гида 4.9,Без переплат агрегатору,Сигнахи и монастыри,Трансфер из отеля,Дешевле чем на Tripster,Напишите в WhatsApp,Забронируйте сегодня,"Кахетия от $74/чел. 3 винодельни, дегустация. WhatsApp.",Винный тур с гидом Тимуром. Сигнахи + Бодбе + марани. До 6 чел.,Частный гид напрямую. Без комиссий. Рейтинг 4.9.,Весь день в Кахетии: вино + монастыри + обед.,Responsive search ad
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Кахетия винный тур,От $74 за человека,Гид Тимур русский язык,3 винодельни за день,Сигнахи город любви,Рейтинг 4.9 на Google,Бесплатная отмена,До 6 человек в группе,Не агентство а гид,Винный тур Грузия,Дегустация квеври-вина,Ответ WhatsApp 15 мин,Трансфер из Тбилиси,Индивидуальный маршрут,Обед включён в тур,"Кахетия от $74: винодельни, дегустация, Сигнахи. Гид на русском.",Без переплат агрегаторам. Гид Тимур. Рейтинг 4.9. До 6 чел.,Винный тур из Тбилиси на весь день. Трансфер. Отмена бесплатно.,Дегустация 10+ сортов вина в семейных марани.,Responsive search ad
Sakhva_ROI_3,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Тур в Кахетию из Тбилиси,Винная экскурсия $74,Гид Тимур 4.9 рейтинг,Экскурсия в Кахетию,Дегустация в марани,Группа до 6 чел,Бесплатная отмена,Ответ за 15 минут,Не агрегатор а гид,WhatsApp бронирование,3 винодельни + обед,Сигнахи город любви,Трансфер из отеля,Квеври-вино 10+ сортов,Забронируйте сейчас,"Тур в Кахетию $74. Дегустация в 3 винодельнях, Сигнахи. Гид Тимур.",Квеври-вино + марани + монастыри. Группа до 6 чел.,Рейтинг 4.9. Трансфер из отеля. Бесплатная отмена.,Целый день в Кахетии: вино + еда + история.,Responsive search ad
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,Standard,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,гид тбилиси,Exact,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,гид в тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,русскоязычный гид тбилиси,Exact,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,русский гид тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,гид водитель тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_ROI_3,,,,,,,,,,Gid_Tbilisi,,,гид с машиной тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,
